Lin N,Time Lin,Par 4N,Time 4,ParN,Time 14,Par 18
150,0.04,10,0.002895,150,0.079335,0.074583
160,0.05,20,0.006282,160,0.090806,0.078107
170,0.05,40,0.015705,170,0.086423,0.074321
180,0.06,80,0.027115,180,0.115579,0.083803
190,0.07,160,0.069105,190,0.115089,0.091073
200,0.08,170,0.077905,200,0.133206,0.080763
210,0.08,180,0.087562,210,0.121584,0.095765
220,0.09,190,0.07715,220,0.09827,0.094449
230,0.1,200,0.081772,230,0.134825,0.102494
240,0.11,210,0.108383,240,0.111391,0.116656
250,0.12,220,0.101658,250,0.167318,0.129134
260,0.13,230,0.112728,260,0.15149,0.125287
270,0.14,240,0.112935,270,0.14261,0.116701
280,0.15,250,0.123532,280,0.128521,0.12844
290,0.16,260,0.13175,290,0.178509,0.134481
310,0.19,270,0.13861,300,0.171332,0.148533
320,0.2,280,0.15428,310,0.1694,0.140626
330,0.21,290,0.147007,320,0.016286,0.153263
340,0.23,300,0.148875,,,
350,0.24,310,0.161234,,,
360,0.26,,,,,
370,0.27,,,,,
380,0.29,,,,,
390,0.3,,,,,
400,0.32,,,,,
410,0.33,,,,,
420,0.35,,,,,
430,0.37,,,,,
440,0.39,,,,,
450,0.4,,,,,
460,0.42,,,,,
470,0.44,,,,,
480,0.46,,,,,
490,0.48,,,,,
500,0.5,,,,,
510,0.52,,,,,
520,0.54,,,,,
530,0.56,,,,,
540,0.58,,,,,
550,0.6,,,,,
560,0.62,,,,,
570,0.65,,,,,
580,0.67,,,,,
590,0.69,,,,,
600,0.72,,,,,
610,0.74,,,,,
620,0.77,,,,,
630,0.79,,,,,
640,0.82,,,,,
650,0.84,,,,,