Particle Number (Steps=2000),Time  (GPU)
1000,2.54
1100,2.84
1200,3.16
1300,3.43
1400,3.75
1500,4.35
1590,4.49
1600,4.59
1700,4.33
1800,5.77
1900,5.99
2000,6.38
2200,7.52
2400,9.14
2600,10.64
2900,12.96
3000,13.67
3100,14.24
3150,15.69
3200,14.93
3300,16.08
3400,17.53
3600,24.05
3700,25.31
3800,25.92
3900,27.59
4000,27.25
900,2.84
700,2.97
600,2.99
500,2.39
400,1.03
300,2
200,1.9
100,2.16
150,1.66
250,1.83
350,2.3
450,1.64
550,2.61
650,2.89
750,1.72
850,2.91