Particle Number (Steps=2000),Time  (GPU),Time (P14),Time (P4),Linear
10,1.57,0.06475,0.02895,0.01
20,1.63,0.12995,0.07436,0.01
40,1.57,0.26359,0.13355,0.03
80,1.73,0.47501,0.30538,0.13
160,1.90,1.04244,0.67804,0.52
320,2.08,1.60521,1.72015,2.5
640,2.60,3.25809,4.86975,8.22
960,3.24,4.94023,7.57930,18.36
1280,3.82,7.68717,12.82972,32.59
1920,4.10,12.52079,25.01901,73.23
2560,7.61,18.55373,43.29100,130.5
4480,18.31,54.77221,134.11019,398.28
5120,23.06,68.13596,173.27594,519.67
7680,46.14,136.26944,382.98847,1168.91
10240,79.69,226.92304,672.10343,2077.5
15360,173.32,485.32960,1474.16459,4674.5
20480,301.37,842.58784,2646.36231,8308.88
30720,665.20,1858.64023,5909.80661,18696.89
40960,1171.55,3283.15757,10467.07266,
61440,2578.93,,,
81920,4461.33,,,