Threads,Time (2000),Time (4000),Time (500),Time (40000),Time (1000)
1,9.06772,36.231993,4.841697,18014.3131,31.094669
2,5.480584,21.153647,2.723237,9592.046428,24.728197
3,3.565234,14.125991,1.814841,6456.950197,15.281761
4,2.734061,10.775298,1.558442,5221.413421,12.244253
5,2.301019,8.534382,1.483577,4921.413421,10.644522
6,1.985872,8.004766,1.351199,4396.319519,10.248978
7,1.795030,6.446034,1.273,3712.131125,9.686253
8,1.648463,5.951875,1.37203,3122.684904,8.800697
9,1.549542,5.240417,1.18218,3037.592413,8.602007
10,1.480600,5.252494,1.176638,2379.062293,8.321075
11,1.489735,4.603852,1.10701,2025.96978,7.995354
12,1.374864,4.221141,1.15414,1774.014447,8.160781
13,1.360669,3.941713,1.195218,1874.677024,7.766026
14,1.395592,3.964379,1.173988,1563.058182,7.592436
15,1.328831,3.732922,1.139156,1517.557834,7.595057
16,1.290773,4.102263,1.32428,1605.625197,7.31577